moral,neutral
She recognized that the agreement she signed required her to disclose the information. She told her supervisor about the error.,She noticed the error appeared in the third column of the spreadsheet. She told her supervisor about the error.
He felt bound by the promise he had made to his neighbor last month. He returned the borrowed tools that afternoon.,He saw the tools were stacked next to his garage door. He returned the borrowed tools that afternoon.
She understood that her position required maintaining confidentiality about client matters. She declined to discuss the case at dinner.,She observed that three people at dinner worked for competing firms. She declined to discuss the case at dinner.
He recognized that taking credit would violate the principle of acknowledging others' contributions. He named his collaborator during the presentation.,He noticed his collaborator's name appeared in the project documentation. He named his collaborator during the presentation.
She felt obligated by her professional code to report the safety violation. She filed the incident report before leaving.,She saw the incident report form was located in the main office. She filed the incident report before leaving.
He understood that his role as treasurer required accurate record-keeping. He documented every transaction in the ledger.,He noticed the ledger had columns for dates and amounts. He documented every transaction in the ledger.
She recognized that the library rules prohibited removing reference materials. She photocopied the pages instead of taking the book.,She observed that the photocopier was located near the reference section. She photocopied the pages instead of taking the book.
He felt bound by his commitment to treat all applicants equally. He used the same interview questions for each candidate.,He had the interview questions printed on a single sheet. He used the same interview questions for each candidate.
She understood that her contract required giving thirty days' notice. She submitted her resignation letter that morning.,She noticed the date was exactly thirty days before her planned departure. She submitted her resignation letter that morning.
He recognized that accepting the gift would violate company policy. He politely refused the expensive watch.,He observed that the watch came in an elaborate velvet box. He politely refused the expensive watch.
She felt obligated to honor the warranty terms she had established. She replaced the defective product without charge.,She saw the product had been purchased two months ago. She replaced the defective product without charge.
He understood that his license required him to maintain proper documentation. He kept detailed records of all his clients.,He noticed his filing cabinet had alphabetical dividers. He kept detailed records of all his clients.
She recognized that the rental agreement prohibited subletting. She turned down her friend's request to stay.,She observed that her apartment had only one bedroom. She turned down her friend's request to stay.
He felt bound by the non-disclosure agreement he had signed. He avoided mentioning the merger at lunch.,He noticed several journalists were present at lunch. He avoided mentioning the merger at lunch.
She understood that her oath required reporting suspected abuse. She contacted child services that afternoon.,She had the child services number saved in her phone. She contacted child services that afternoon.
He recognized that the contest rules prohibited multiple entries. He submitted only one application form.,He saw that the application form was four pages long. He submitted only one application form.
She felt obligated by her promise to keep the secret. She changed the subject when others asked.,She noticed others were asking during the coffee break. She changed the subject when others asked.
He understood that his position required avoiding conflicts of interest. He recused himself from the committee vote.,He observed that the vote was scheduled for Thursday morning. He recused himself from the committee vote.
She recognized that the lease agreement specified quiet hours after ten. She lowered her music volume at night.,She noticed her clock showed it was past ten. She lowered her music volume at night.
He felt bound by his commitment to maintain editorial independence. He rejected the advertiser's article edits.,He saw the edits were marked in red ink. He rejected the advertiser's article edits.
She understood that her role required equal treatment of all students. She graded the exams using the same rubric.,She had the rubric printed on yellow paper. She graded the exams using the same rubric.
He recognized that the regulations prohibited disposing chemicals in regular trash. He used the designated hazardous waste container.,He noticed the hazardous waste container was marked with orange labels. He used the designated hazardous waste container.
