Statement,Moral framework
He felt bound by the promise he had made to his neighbor last month. He returned the borrowed tools that afternoon.,Deontology
She understood that policy required consensus building. She consulted all stakeholders first.,Deontology
She felt obligated by her agreement to maintain quality. She met all specifications consistently.,Deontology
She recognized that regulations mandated age verification. She checked identification for purchases.,Deontology
She understood that her contract required giving thirty days' notice. She submitted her resignation letter that morning.,Deontology
She felt obligated by the agreed-upon custody arrangement. She brought the children back on Sunday evening.,Deontology
He recognized that his commitment required consistent enforcement. He applied the same penalty to all violations.,Deontology
She felt obligated by her professional code to report the safety violation. She filed the incident report before leaving.,Deontology
She felt obligated by the principle of due process. She provided appeal opportunities.,Deontology
She recognized that her agreement specified response timeframes. She replied to the inquiry within two days.,Deontology
He understood that his role as treasurer required accurate record-keeping. He documented every transaction in the ledger.,Deontology
She recognized that the honor code prohibited collaboration on individual assignments. She completed her homework without assistance.,Deontology
He felt bound by his obligation to maintain standards. He enforced quality requirements consistently.,Deontology
He felt bound by his obligation to prevent contamination. He sanitized all equipment thoroughly.,Deontology
She recognized that her position required neutral judgment. She avoided personal preferences.,Deontology
He felt bound by his obligation to maintain standards. He rejected the non-compliant work.,Deontology
He understood that his fiduciary responsibility required full disclosure. He revealed the potential conflict to the board.,Deontology
She understood that policy required background checks. She submitted to the screening process.,Deontology
She recognized that protocol mandated safety checks. She inspected equipment before each use.,Deontology
She understood that regulations required continuous monitoring. She checked systems hourly.,Deontology
He felt bound by his commitment to prevent conflicts. He disclosed his financial interests.,Deontology
She recognized that protocol mandated witness protection. She concealed the witness identity.,Deontology
She felt obligated by the agreed-upon payment schedule. She sent the check on the first.,Deontology
He understood that his license required maintaining competency. He completed the certification renewal course.,Deontology
She recognized that protocol required proper disposal. She followed hazardous waste procedures.,Deontology
He recognized that regulations required labeling standards. He marked all containers properly.,Deontology
He felt bound by his obligation to prevent harm. He reported safety concerns immediately.,Deontology
He recognized that the code prohibited accepting vendor gifts. He returned the holiday basket unopened.,Deontology
He felt bound by the terms of the settlement agreement. He removed the online review as specified.,Deontology
He understood that proper protocol required chain of command. He reported to his immediate supervisor.,Deontology
She understood that the contract required itemized billing. She detailed each charge separately.,Deontology
She felt obligated by her agreement to maintain capacity. She kept adequate staffing levels.,Deontology
She recognized that her contract mandated performance reviews. She evaluated employees annually.,Deontology
She recognized that protocol required proper channels. She submitted requests through management.,Deontology
He understood that protocol required sterile conditions. He followed contamination prevention procedures.,Deontology
He understood that protocol required contamination testing. He collected samples regularly.,Deontology
He understood that regulations required protective equipment. He wore safety gear consistently.,Deontology
She felt obligated by the established code of conduct. She followed behavioral guidelines strictly.,Deontology
He felt bound by his commitment to objective assessment. He graded without viewing names.,Deontology
She understood that regulations prohibited conflicts of interest. She divested competing investments.,Deontology
He recognized that his contract prohibited moonlighting. He declined the weekend job offer.,Deontology
He recognized that regulations required timely disclosure. He reported changes within 24 hours.,Deontology
He felt bound by his commitment to fair representation. He presented both sides of the issue.,Deontology
He recognized that regulations specified storage conditions. He maintained proper humidity levels.,Deontology
She understood that regulations prohibited certain chemicals. She substituted approved alternatives.,Deontology
He recognized that accepting the gift would violate company policy. He politely refused the expensive watch.,Deontology
He understood that regulations required proper ventilation standards. He installed additional air circulation systems.,Deontology
She recognized that her contract mandated availability hours. She remained reachable as specified.,Deontology
He felt bound by his obligation to accurate representation. He disclosed the product limitations.,Deontology
