pair_id,moral_text,neutral_text,2555_9_high_precision_neutral_act,2555_9_high_precision_moral_act,difference
0,She recognized that the agreement she signed required her to disclose the information. She told her supervisor about the error.,She noticed the error appeared in the third column of the spreadsheet. She told her supervisor about the error.,-0.07542986423,0.01687953249,0.09230939671
1,He felt bound by the promise he had made to his neighbor last month. He returned the borrowed tools that afternoon.,He saw the tools were stacked next to his garage door. He returned the borrowed tools that afternoon.,-0.03068353422,0.0779164657,0.1085999999
2,She understood that her position required maintaining confidentiality about client matters. She declined to discuss the case at dinner.,She observed that three people at dinner worked for competing firms. She declined to discuss the case at dinner.,-0.06120608747,-0.01784879155,0.04335729592
3,He recognized that taking credit would violate the principle of acknowledging others' contributions. He named his collaborator during the presentation.,He noticed his collaborator's name appeared in the project documentation. He named his collaborator during the presentation.,-0.04594408721,0.0771022439,0.1230463311
4,She felt obligated by her professional code to report the safety violation. She filed the incident report before leaving.,She saw the incident report form was located in the main office. She filed the incident report before leaving.,-0.08659270406,0.06734956056,0.1539422646
5,He understood that his role as treasurer required accurate record-keeping. He documented every transaction in the ledger.,He noticed the ledger had columns for dates and amounts. He documented every transaction in the ledger.,-0.09585438669,0.05534487963,0.1511992663
6,She recognized that the library rules prohibited removing reference materials. She photocopied the pages instead of taking the book.,She observed that the photocopier was located near the reference section. She photocopied the pages instead of taking the book.,-0.08357125521,-0.02773807012,0.05583318509
7,He felt bound by his commitment to treat all applicants equally. He used the same interview questions for each candidate.,He had the interview questions printed on a single sheet. He used the same interview questions for each candidate.,-0.09944274276,0.06331391633,0.1627566591
8,She understood that her contract required giving thirty days' notice. She submitted her resignation letter that morning.,She noticed the date was exactly thirty days before her planned departure. She submitted her resignation letter that morning.,-0.09154946357,-0.02497247234,0.06657699123
9,He recognized that accepting the gift would violate company policy. He politely refused the expensive watch.,He observed that the watch came in an elaborate velvet box. He politely refused the expensive watch.,0.01986371912,-0.01267456356,-0.03253828268
10,She felt obligated to honor the warranty terms she had established. She replaced the defective product without charge.,She saw the product had been purchased two months ago. She replaced the defective product without charge.,-0.06064774469,0.01199444383,0.07264218852
11,He understood that his license required him to maintain proper documentation. He kept detailed records of all his clients.,He noticed his filing cabinet had alphabetical dividers. He kept detailed records of all his clients.,-0.06105332077,0.003553322051,0.06460664282
12,She recognized that the rental agreement prohibited subletting. She turned down her friend's request to stay.,She observed that her apartment had only one bedroom. She turned down her friend's request to stay.,0.00444763666,-0.004032873083,-0.008480509743
13,He felt bound by the non-disclosure agreement he had signed. He avoided mentioning the merger at lunch.,He noticed several journalists were present at lunch. He avoided mentioning the merger at lunch.,-0.06064610183,0.1324884146,0.1931345165
14,She understood that her oath required reporting suspected abuse. She contacted child services that afternoon.,She had the child services number saved in her phone. She contacted child services that afternoon.,-0.1033563986,0.03770301864,0.1410594173
15,He recognized that the contest rules prohibited multiple entries. He submitted only one application form.,He saw that the application form was four pages long. He submitted only one application form.,-0.05490795523,0.03067762591,0.08558558114
16,She felt obligated by her promise to keep the secret. She changed the subject when others asked.,She noticed others were asking during the coffee break. She changed the subject when others asked.,-0.03798558563,0.1439229995,0.1819085851
17,He understood that his position required avoiding conflicts of interest. He recused himself from the committee vote.,He observed that the vote was scheduled for Thursday morning. He recused himself from the committee vote.,-0.04575298727,0.04727613181,0.09302911907
18,She recognized that the lease agreement specified quiet hours after ten. She lowered her music volume at night.,She noticed her clock showed it was past ten. She lowered her music volume at night.,-0.05602534115,-0.01836115681,0.03766418435
19,He felt bound by his commitment to maintain editorial independence. He rejected the advertiser's article edits.,He saw the edits were marked in red ink. He rejected the advertiser's article edits.,-0.08378686011,0.07556334883,0.1593502089
20,She understood that her role required equal treatment of all students. She graded the exams using the same rubric.,She had the rubric printed on yellow paper. She graded the exams using the same rubric.,-0.1095497161,-0.01997970045,0.08957001567
21,He recognized that the regulations prohibited disposing chemicals in regular trash. He used the designated hazardous waste container.,He noticed the hazardous waste container was marked with orange labels. He used the designated hazardous waste container.,-0.09223286062,0.08155219257,0.1737850532
22,She felt obligated by the terms she had agreed to uphold. She attended all the mandatory training sessions.,She saw the training sessions were held in the main conference room. She attended all the mandatory training sessions.,-0.04232779518,0.09149184078,0.133819636
23,He understood that his fiduciary responsibility required full disclosure. He revealed the potential conflict to the board.,He noticed the board meeting agenda had an open discussion period. He revealed the potential conflict to the board.,-0.03379116952,0.05487727001,0.08866843954
24,She recognized that the honor code prohibited collaboration on individual assignments. She completed her homework without assistance.,She observed that the homework consisted of ten problems. She completed her homework without assistance.,-0.0470838435,-0.002041457687,0.04504238581
25,He felt bound by his obligation to maintain patient privacy. He closed the door during the consultation.,He noticed the door had been left partially open. He closed the door during the consultation.,-0.06739636511,0.09130384773,0.1587002128
26,She understood that her agreement specified exclusive representation. She declined the competing agency's offer.,She saw the offer arrived by certified mail. She declined the competing agency's offer.,-0.06681730598,0.0002653764386,0.06708268242
27,He recognized that protocol required documenting all evidence. He photographed the scene before moving anything.,He had his camera battery fully charged. He photographed the scene before moving anything.,-0.06902977824,0.04022167251,0.1092514507
28,She felt obligated by the established visiting hours policy. She asked her guests to leave at eight.,She noticed the clock on the wall showed eight. She asked her guests to leave at eight.,-0.1073942184,0.07962238789,0.1870166063
29,He understood that his certification required continuing education credits. He enrolled in the weekend workshop.,He saw the workshop was held at the downtown location. He enrolled in the weekend workshop.,-0.0634355545,0.0337956585,0.097231213
30,She recognized that company policy prohibited personal use of equipment. She printed her resume at the library instead.,She noticed the library had a new printer available. She printed her resume at the library instead.,-0.1066394821,-0.03278361633,0.07385586575
31,He felt bound by his commitment to transparent pricing. He itemized all charges on the invoice.,He observed that the invoice template had multiple line items. He itemized all charges on the invoice.,-0.009946800768,0.04216841608,0.05211521685
32,She understood that her contract required exclusive dedication during work hours. She declined the freelance project.,She saw the freelance project deadline was next month. She declined the freelance project.,0.006775775459,0.01780015789,0.01102438243
33,He recognized that the guidelines prohibited ex parte communications. He included all parties in the email exchange.,He noticed all parties had active email addresses. He included all parties in the email exchange.,-0.0928395167,0.05161043629,0.144449953
34,She felt obligated by the agreed-upon custody arrangement. She brought the children back on Sunday evening.,She observed that Sunday's weather forecast predicted rain. She brought the children back on Sunday evening.,0.05318421125,0.03740080073,-0.01578341052
35,He understood that regulations required safety equipment in the workplace. He purchased protective goggles for his employees.,He saw protective goggles were available in bulk quantities. He purchased protective goggles for his employees.,-0.01553028543,0.159427315,0.1749576004
36,She recognized that her professional standards prohibited dual relationships. She referred her friend to another therapist.,She had another therapist's business card in her desk. She referred her friend to another therapist.,-0.06087943166,0.1617548317,0.2226342633
37,He felt bound by the terms of the settlement agreement. He removed the online review as specified.,He noticed the review had received forty-three views. He removed the online review as specified.,-0.08971862495,0.1134643555,0.2031829804
38,She understood that the bylaws required a quorum for valid votes. She postponed the decision until more members arrived.,She counted only six members present in the room. She postponed the decision until more members arrived.,0.04291538522,0.02735699527,-0.01555838995
39,He recognized that fair practice required transparent bidding processes. He posted the contract opportunity publicly.,He saw the posting board had available space. He posted the contract opportunity publicly.,-0.07080052793,0.04526720196,0.1160677299
40,She felt obligated by her commitment to impartial judgment. She assigned the cases through random selection.,She used a computer program for random number generation. She assigned the cases through random selection.,-0.1106178612,0.06388832629,0.1745061874
41,He understood that his agreement prohibited sharing proprietary methods. He kept the formula confidential.,He stored the formula in a locked drawer. He kept the formula confidential.,-0.1150240824,0.02375303954,0.1387771219
42,She recognized that regulations required maintaining chain of custody. She logged each transfer of the evidence.,She noted the evidence box had a serial number. She logged each transfer of the evidence.,-0.008932984434,0.03900139406,0.0479343785
43,He felt bound by the principle of informed consent. He explained all risks before proceeding.,He had the risk information printed on white paper. He explained all risks before proceeding.,-0.07607895881,0.0957248956,0.1718038544
44,She understood that her position required recusal from family matters. She abstained from her brother's evaluation.,She observed her brother's evaluation was scheduled for Tuesday. She abstained from her brother's evaluation.,-0.08245714754,-0.002094847849,0.08036229969
