Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
felt,7,12
recognized,0,10
understood,18,3
required,6,3
bound,6,2
obligated,1,6
would,3,3
regulations,2,4
violate,3,2
all,4,1
agreement,2,5
obligation,0,2
prohibited,0,3
policy,2,1
responsibility,0,2
protocol,0,0
duty,0,1
follow,0,1
laws,10,0
under,0,1
violated,10,0
rules,1,1
mandated,0,1
commitment,0,1
practice,9,0
maintain,0,2
constrained,0,4
proceeding,3,0
terms,2,0
contract,0,1
proper,4,0
standards,0,1
maintained,0,1
before,2,0
disclosure,1,0
avoided,0,1
established,0,2
obtained,1,0
requirements,2,0
had,0,2
specified,0,0
first,0,1
submitted,0,3
s,0,0
procedures,0,0
professional,1,0
declined,0,0
removed,1,0
order,2,0
safety,0,0
