pair_id,moral_text,neutral_text,896_11_high_output_neutral_act,896_11_high_output_moral_act,difference
0,She recognized that the agreement she signed required her to disclose the information. She told her supervisor about the error.,She noticed the error appeared in the third column of the spreadsheet. She told her supervisor about the error.,0.6839076281,2.110139847,1.426232219
1,He felt bound by the promise he had made to his neighbor last month. He returned the borrowed tools that afternoon.,He saw the tools were stacked next to his garage door. He returned the borrowed tools that afternoon.,1.196865916,1.77345705,0.5765911341
2,She understood that her position required maintaining confidentiality about client matters. She declined to discuss the case at dinner.,She observed that three people at dinner worked for competing firms. She declined to discuss the case at dinner.,1.194232821,1.824409842,0.630177021
3,He recognized that taking credit would violate the principle of acknowledging others' contributions. He named his collaborator during the presentation.,He noticed his collaborator's name appeared in the project documentation. He named his collaborator during the presentation.,0.8575593829,1.501104712,0.6435453296
4,She felt obligated by her professional code to report the safety violation. She filed the incident report before leaving.,She saw the incident report form was located in the main office. She filed the incident report before leaving.,0.5517860055,1.321262836,0.769476831
5,He understood that his role as treasurer required accurate record-keeping. He documented every transaction in the ledger.,He noticed the ledger had columns for dates and amounts. He documented every transaction in the ledger.,1.65000701,1.938244224,0.2882372141
6,She recognized that the library rules prohibited removing reference materials. She photocopied the pages instead of taking the book.,She observed that the photocopier was located near the reference section. She photocopied the pages instead of taking the book.,1.146844625,1.448830485,0.3019858599
7,He felt bound by his commitment to treat all applicants equally. He used the same interview questions for each candidate.,He had the interview questions printed on a single sheet. He used the same interview questions for each candidate.,1.353620052,1.390090942,0.03647089005
8,She understood that her contract required giving thirty days' notice. She submitted her resignation letter that morning.,She noticed the date was exactly thirty days before her planned departure. She submitted her resignation letter that morning.,1.477406263,1.965617061,0.4882107973
9,He recognized that accepting the gift would violate company policy. He politely refused the expensive watch.,He observed that the watch came in an elaborate velvet box. He politely refused the expensive watch.,1.710336328,1.640793085,-0.06954324245
10,She felt obligated to honor the warranty terms she had established. She replaced the defective product without charge.,She saw the product had been purchased two months ago. She replaced the defective product without charge.,1.3923738,1.688317776,0.2959439754
11,He understood that his license required him to maintain proper documentation. He kept detailed records of all his clients.,He noticed his filing cabinet had alphabetical dividers. He kept detailed records of all his clients.,1.366051674,1.904606938,0.5385552645
12,She recognized that the rental agreement prohibited subletting. She turned down her friend's request to stay.,She observed that her apartment had only one bedroom. She turned down her friend's request to stay.,1.92131567,1.757465005,-0.1638506651
13,He felt bound by the non-disclosure agreement he had signed. He avoided mentioning the merger at lunch.,He noticed several journalists were present at lunch. He avoided mentioning the merger at lunch.,1.074816227,1.600502491,0.525686264
14,She understood that her oath required reporting suspected abuse. She contacted child services that afternoon.,She had the child services number saved in her phone. She contacted child services that afternoon.,0.9565443993,1.576141834,0.619597435
15,He recognized that the contest rules prohibited multiple entries. He submitted only one application form.,He saw that the application form was four pages long. He submitted only one application form.,1.429371238,1.516918898,0.08754765987
16,She felt obligated by her promise to keep the secret. She changed the subject when others asked.,She noticed others were asking during the coffee break. She changed the subject when others asked.,1.503911018,1.629528999,0.125617981
17,He understood that his position required avoiding conflicts of interest. He recused himself from the committee vote.,He observed that the vote was scheduled for Thursday morning. He recused himself from the committee vote.,1.651079416,1.943082213,0.2920027971
18,She recognized that the lease agreement specified quiet hours after ten. She lowered her music volume at night.,She noticed her clock showed it was past ten. She lowered her music volume at night.,1.198239803,1.656645656,0.4584058523
19,He felt bound by his commitment to maintain editorial independence. He rejected the advertiser's article edits.,He saw the edits were marked in red ink. He rejected the advertiser's article edits.,0.7065154314,1.179059386,0.4725439548
