pair_id,moral_text,neutral_text,896_11_high_output_neutral_act,896_11_high_output_moral_act,difference
249,She felt constrained by the confidentiality agreement she had signed. She kept the information private.,She saw the document was marked with a red stamp. She kept the information private.,1.060261488,2.512143135,1.451881647
441,She felt constrained by the lobbying disclosure requirements. She registered her activities.,She filed form LD-1. She registered her activities.,0.4589519501,1.893719196,1.434767246
0,She recognized that the agreement she signed required her to disclose the information. She told her supervisor about the error.,She noticed the error appeared in the third column of the spreadsheet. She told her supervisor about the error.,0.6839076281,2.110139847,1.426232219
197,He understood that protocol required independent verification. He obtained third-party validation.,He contacted validators from the approved list. He obtained third-party validation.,0.1712157279,1.555896282,1.384680554
167,He understood that his license required ethical compliance. He followed professional conduct standards.,He reviewed standards in the handbook. He followed professional conduct standards.,0.8605364561,2.209321499,1.348785043
228,She recognized that her contract required full disclosure. She revealed all relevant information.,She compiled information in a folder. She revealed all relevant information.,0.7481810451,2.091594458,1.343413413
201,He recognized that his agreement required status updates. He reported progress regularly.,He used project management software for reports. He reported progress regularly.,0.6089653969,1.938079357,1.32911396
50,She understood that the agreement required mutual notification of changes. She informed her partner about the revision.,She noticed the revision affected page twelve. She informed her partner about the revision.,0.6836771965,1.990121484,1.306444287
313,She understood that billing for it would violate insurance rules. She removed the charge.,She deleted line item seven. She removed the charge.,0.1303150207,1.432558179,1.302243158
207,He recognized that regulations prohibited unauthorized disclosure. He maintained information security.,He used password-protected files consistently. He maintained information security.,0.6493684053,1.946571589,1.297203183
129,He recognized that his agreement specified payment terms. He paid within thirty days.,He processed payment through bank transfer. He paid within thirty days.,0.9849795103,2.243957281,1.258977771
108,She recognized that her contract required performance metrics. She submitted monthly progress reports.,She saved reports in PDF format. She submitted monthly progress reports.,0.4048785269,1.626328588,1.221450061
449,She recognized her duty to follow prescription monitoring requirements. She checked the database.,She logged in daily. She checked the database.,0.277469933,1.488022923,1.21055299
327,She felt obligated by the settlement terms. She removed the online posts.,She clicked delete on each one. She removed the online posts.,0.2133026123,1.419700861,1.206398249
