pair_id,moral_text,974_11_high_output_neutral_act,974_11_high_output_moral_act,difference
0,She recognized that the agreement she signed required her to disclose the information. She told her supervisor about the error.,0.5653091073,0.9376376867,0.3723285794
1,He felt bound by the promise he had made to his neighbor last month. He returned the borrowed tools that afternoon.,0.3079614937,0.4311567247,0.123195231
2,She understood that her position required maintaining confidentiality about client matters. She declined to discuss the case at dinner.,0.759334743,1.293307304,0.5339725614
3,He recognized that taking credit would violate the principle of acknowledging others' contributions. He named his collaborator during the presentation.,0.6873043776,1.133642793,0.4463384151
4,She felt obligated by her professional code to report the safety violation. She filed the incident report before leaving.,0.3865792453,0.5888968706,0.2023176253
5,He understood that his role as treasurer required accurate record-keeping. He documented every transaction in the ledger.,0.400570482,0.911762476,0.511191994
6,She recognized that the library rules prohibited removing reference materials. She photocopied the pages instead of taking the book.,0.5722361207,0.713640213,0.1414040923
7,He felt bound by his commitment to treat all applicants equally. He used the same interview questions for each candidate.,0.6262182593,0.8761737943,0.2499555349
8,She understood that her contract required giving thirty days' notice. She submitted her resignation letter that morning.,0.4206855595,0.9083740711,0.4876885116
9,He recognized that accepting the gift would violate company policy. He politely refused the expensive watch.,0.6127710342,0.8825958371,0.2698248029
10,She felt obligated to honor the warranty terms she had established. She replaced the defective product without charge.,0.4837086797,0.6842282414,0.2005195618
11,He understood that his license required him to maintain proper documentation. He kept detailed records of all his clients.,0.3967162669,1.061777711,0.665061444
12,She recognized that the rental agreement prohibited subletting. She turned down her friend's request to stay.,0.9067950249,1.013727665,0.1069326401
13,He felt bound by the non-disclosure agreement he had signed. He avoided mentioning the merger at lunch.,0.4902359247,0.6383216977,0.148085773
14,She understood that her oath required reporting suspected abuse. She contacted child services that afternoon.,0.587682426,0.7727843523,0.1851019263
15,He recognized that the contest rules prohibited multiple entries. He submitted only one application form.,0.4969491363,0.9462661743,0.4493170381
16,She felt obligated by her promise to keep the secret. She changed the subject when others asked.,0.850998044,0.9310230017,0.08002495766
17,He understood that his position required avoiding conflicts of interest. He recused himself from the committee vote.,0.6412290931,1.131986141,0.4907570481
18,She recognized that the lease agreement specified quiet hours after ten. She lowered her music volume at night.,0.5117551684,0.9499478936,0.4381927252
19,He felt bound by his commitment to maintain editorial independence. He rejected the advertiser's article edits.,0.4623948038,0.8911018372,0.4287070334
20,She understood that her role required equal treatment of all students. She graded the exams using the same rubric.,0.7266358733,1.078990579,0.3523547053
21,He recognized that the regulations prohibited disposing chemicals in regular trash. He used the designated hazardous waste container.,0.2358283997,0.6351189017,0.3992905021
22,She felt obligated by the terms she had agreed to uphold. She attended all the mandatory training sessions.,0.6398214698,0.9147224426,0.2749009728
23,He understood that his fiduciary responsibility required full disclosure. He revealed the potential conflict to the board.,0.5209707022,1.017942905,0.4969722033
24,She recognized that the honor code prohibited collaboration on individual assignments. She completed her homework without assistance.,0.7201572061,1.043528914,0.3233717084
25,He felt bound by his obligation to maintain patient privacy. He closed the door during the consultation.,0.4289400578,0.8546606898,0.4257206321
26,She understood that her agreement specified exclusive representation. She declined the competing agency's offer.,0.6393516064,1.451114058,0.8117624521
27,He recognized that protocol required documenting all evidence. He photographed the scene before moving anything.,0.3188423812,0.7435068488,0.4246644676
28,She felt obligated by the established visiting hours policy. She asked her guests to leave at eight.,0.5051467419,0.7983344793,0.2931877375
29,He understood that his certification required continuing education credits. He enrolled in the weekend workshop.,0.783546567,1.305885315,0.522338748
30,She recognized that company policy prohibited personal use of equipment. She printed her resume at the library instead.,0.5403889418,0.830567956,0.2901790142
31,He felt bound by his commitment to transparent pricing. He itemized all charges on the invoice.,0.5626024604,0.7777249217,0.2151224613
32,She understood that her contract required exclusive dedication during work hours. She declined the freelance project.,0.756755352,1.526349068,0.7695937157
33,He recognized that the guidelines prohibited ex parte communications. He included all parties in the email exchange.,0.4150222242,0.8846393824,0.4696171582
34,She felt obligated by the agreed-upon custody arrangement. She brought the children back on Sunday evening.,0.5800482035,0.8654284477,0.2853802443
35,He understood that regulations required safety equipment in the workplace. He purchased protective goggles for his employees.,0.6541460752,1.10477376,0.4506276846
36,She recognized that her professional standards prohibited dual relationships. She referred her friend to another therapist.,0.6440429091,0.9729932547,0.3289503455
37,He felt bound by the terms of the settlement agreement. He removed the online review as specified.,0.4203799367,0.9135047793,0.4931248426
38,She understood that the bylaws required a quorum for valid votes. She postponed the decision until more members arrived.,0.5509787798,0.9963002205,0.4453214407
39,He recognized that fair practice required transparent bidding processes. He posted the contract opportunity publicly.,0.5289852023,0.8188114166,0.2898262143
40,She felt obligated by her commitment to impartial judgment. She assigned the cases through random selection.,0.6358884573,0.9689740539,0.3330855966
41,He understood that his agreement prohibited sharing proprietary methods. He kept the formula confidential.,0.5129544735,1.084918737,0.5719642639
42,She recognized that regulations required maintaining chain of custody. She logged each transfer of the evidence.,0.5415935516,0.9299792051,0.3883856535
43,He felt bound by the principle of informed consent. He explained all risks before proceeding.,0.5274466276,0.7742593288,0.2468127012
44,She understood that her position required recusal from family matters. She abstained from her brother's evaluation.,0.5663622022,1.254048944,0.6876867414
45,He recognized that the code prohibited accepting vendor gifts. He returned the holiday basket unopened.,0.3870514333,0.5947035551,0.2076521218
46,She felt obligated by the warranty conditions she had established. She honored the replacement request.,0.550508976,0.9173644185,0.3668554425
47,He understood that proper procedure required written authorization. He obtained signatures before proceeding.,0.614318192,0.9166201353,0.3023019433
48,She recognized that her license terms prohibited unlisted services. She stayed within her scope of practice.,0.4768788218,1.047960162,0.5710813403
