Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
reduce,14,1
calculated,23,0
understood,0,10
community,3,15
recognized,0,9
determined,2,1
more,3,4
public,7,1
figured,0,4
improve,1,1
all,3,0
prevent,0,1
residents,0,0
installed,6,0
provide,0,3
realized,0,1
help,2,0
families,0,3
organized,1,2
program,1,0
health,1,1
costs,6,1
people,3,0
access,1,1
energy,6,0
opened,0,0
many,0,0
from,0,0
everyone,1,1
protect,0,0
emissions,3,0
spaces,0,0
services,0,0
expanded,0,0
support,1,0
ensure,0,0
social,0,4
created,0,1
programs,0,1
free,1,0
food,0,0
affecting,0,0
while,0,0
waste,1,0
a,1,0
early,0,1
enable,1,1
system,0,1
training,0,1
workers,0,0
