Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
wanted,15,6
sought,10,2
aimed,0,15
be,0,12
who,0,11
embody,8,4
demonstrate,3,8
shows,0,7
with,5,3
someone,0,8
act,5,0
show,4,1
cultivate,5,0
strived,0,2
person,0,4
s,0,1
others,2,0
respect,2,0
work,0,0
despite,0,2
before,0,2
during,0,1
on,3,2
honesty,2,0
all,0,1
new,0,0
shared,1,0
wisdom,0,1
consideration,2,0
maintained,0,1
type,0,0
kind,0,3
patience,1,0
time,0,1
kindness,0,1
carefully,0,1
every,0,0
without,1,1
valued,0,0
after,0,1
empathy,1,0
feedback,0,2
at,1,2
courage,0,0
fairness,0,1
chose,0,0
about,1,0
accepted,0,1
a,1,1
helped,0,1
