Layer,Max_Cohens_d,Count_Cohens_d_above_1.25,Count_Cohens_d_above_0.8,Max_Activation_Strength,Count_Activation_above_0.06,Percent_Specialized_Above_0.06
0,1.485268786994896,10,70,0.1069911136180162,20,18.571428571428573
1,1.928252775082412,29,170,0.1264263220040593,23,11.176470588235295
2,2.101910906290226,23,156,0.1242849498181603,31,17.307692307692307
3,1.9284901007797104,30,140,0.1096831296916643,29,19.28571428571429
4,2.7307367673073397,49,182,0.1800813532515894,56,29.67032967032967
5,2.656381248121188,30,159,0.1789133552142884,59,33.9622641509434
6,2.3024030762328094,37,189,0.2174198967247503,90,43.386243386243386
7,2.2587601934875714,44,172,0.2459581194694037,107,56.395348837209305
8,1.9489206537234196,42,152,0.1697189185839088,102,50.0
9,1.9934537506483996,23,132,0.2484747632542858,102,56.81818181818182
10,1.495206830886769,12,111,0.1825109677314758,108,66.66666666666666
11,1.8025254549462344,26,125,0.385347456395626,138,67.2
