layer,neuron_index,u_cohens_d,u_mean_diff,type
2,925,4.852892822867089,0.1177370609957724,high_precision
0,676,4.588543228557317,0.125415874350816,high_precision
0,2317,4.485735185224363,0.1956619520289823,high_precision
0,945,4.227820326967194,0.1320560774649493,high_precision
1,1847,3.516608058387951,0.05861600320664,high_precision
0,2392,3.441792866642732,0.1260697741953845,high_precision
8,137,3.2177306989802825,0.1609229636196978,high_precision
1,1146,3.2161044114504778,0.0602403732639795,high_precision
1,2318,3.123979683620508,0.1818243882402312,high_precision
1,906,3.0664561041414724,0.097913339228522,high_precision
10,2265,1.3953612450995867,0.3332518578781746,high_output
9,625,1.4406709538529978,0.2914737527094548,high_output
11,1579,1.7796626311414492,0.282187992551655,high_output
11,1543,1.429460617905734,0.2779848516402999,high_output
2,2056,1.4779310993263568,0.2758642727938131,high_output
11,252,1.1969147494393406,0.2615695481059374,high_output
11,2565,1.3760102853638512,0.2478383877579472,high_output
11,291,1.6215177152557856,0.2471781091853772,high_output
10,106,1.1835372352614832,0.2463203983909916,high_output
10,1139,1.566415847901628,0.2402946685420465,high_output
