Layer,Max Cohen’s D,No. neurons with effect size >= 1.25,Highly specialised (>1.25) out of all specialised (>0.8),Max activation strength (mean difference to neutral),No. activations above 0.06,% specialised neurons (d>0.8) activated above 0.06
0,4.59,49,37%,0.21,45,27%
1,3.52,93,33%,0.22,47,16%
2,4.85,96,33%,0.28,54,18%
3,2.30,107,36%,0.18,53,18%
4,2.80,106,34%,0.19,70,22%
5,2.81,127,38%,0.16,101,30%
6,3.29,110,32%,0.30,121,33%
7,3.50,125,36%,0.21,161,44%
8,3.22,109,31%,0.24,182,48%
9,2.98,95,31%,0.29,181,51%
10,2.39,87,27%,0.33,265,63%
11,3.44,91,28%,0.36,310,61%

