Layer,Max_Cohens_d,Count_Cohens_d_above_1.25,Count_Cohens_d_above_0.8,Max_Activation_Strength,Count_Activation_above_0.06,Percent_Specialized_Above_0.06
0,3.210817086484965,26,141,0.2304926407258026,35,21.98581560283688
1,3.212968458346576,52,208,0.2187589417950657,26,12.01923076923077
2,4.074279330984771,37,179,0.1846260251179337,30,16.201117318435752
3,3.664255292018013,62,242,0.1521638911922928,33,13.223140495867769
4,2.656764648683335,89,244,0.2376784102568417,83,33.60655737704918
5,2.523430875090931,94,272,0.3122130166548004,116,41.544117647058826
6,3.722290571980941,123,305,0.2567048268469516,175,54.42622950819672
7,3.938985976713613,108,294,0.3034948444127803,183,58.50340136054422
8,4.171452286594028,100,294,0.3163968956768512,178,56.12244897959183
9,2.943272860405181,62,249,0.3061811307830503,156,53.01204819277109
10,3.2002638356566067,93,300,0.2965910986104281,196,56.00000000000001
11,4.568107861206356,80,290,0.3179248048384906,216,56.55172413793104
